task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	79/7fe53d	2677037	pipeline:getParams	COMPLETED	0	2026-03-18 23:15:40.406	205ms	3ms	0.0%	0	0	58.4 KB	1.8 KB
5	96/edd76d	2676985	fastcat (3)	COMPLETED	0	2026-03-18 23:15:40.396	338ms	151ms	188.3%	50.3 MB	549 MB	21.1 MB	19.2 MB
8	fe/01a33f	2676964	fastcat (6)	COMPLETED	0	2026-03-18 23:15:40.387	364ms	166ms	190.5%	35.7 MB	548.1 MB	24.2 MB	22 MB
6	95/d79711	2677933	fastcat (4)	COMPLETED	0	2026-03-18 23:15:40.748	348ms	142ms	202.8%	41.1 MB	549 MB	21.9 MB	20 MB
10	c4/902642	2677958	fastcat (8)	COMPLETED	0	2026-03-18 23:15:40.771	336ms	145ms	191.8%	35.5 MB	420.1 MB	20.1 MB	18.4 MB
7	62/ba1b8d	2678562	fastcat (5)	COMPLETED	0	2026-03-18 23:15:41.110	334ms	137ms	150.0%	33.1 MB	549 MB	11.5 MB	10.7 MB
4	08/95fa3f	2678526	fastcat (2)	COMPLETED	0	2026-03-18 23:15:41.100	352ms	152ms	214.3%	44.1 MB	549 MB	21 MB	19.5 MB
3	78/22ad1a	2679299	fastcat (1)	COMPLETED	0	2026-03-18 23:15:41.457	313ms	138ms	163.1%	37.5 MB	227.2 MB	12.5 MB	11.6 MB
9	6d/b3e1fa	2679293	fastcat (7)	COMPLETED	0	2026-03-18 23:15:41.453	333ms	150ms	209.2%	38.7 MB	549 MB	23.9 MB	21.8 MB
12	f2/7eb3c2	2678537	pipeline:subsetReads (2)	COMPLETED	0	2026-03-18 23:15:41.104	1.6s	1.4s	139.7%	10.3 MB	16.4 MB	111.6 MB	27 MB
15	83/39a346	2679990	pipeline:subsetReads (5)	COMPLETED	0	2026-03-18 23:15:41.784	1.5s	1.3s	96.8%	73.7 MB	1.3 GB	50.9 MB	17.9 MB
17	c5/1de9b9	2680056	pipeline:subsetReads (7)	COMPLETED	0	2026-03-18 23:15:41.797	1.6s	1.3s	102.1%	9.8 MB	16.1 MB	58 MB	18.5 MB
16	60/f1a9aa	2680021	pipeline:subsetReads (6)	COMPLETED	0	2026-03-18 23:15:41.790	1.7s	1.4s	103.7%	11.6 MB	15.1 MB	74.5 MB	25.8 MB
